EventId,Type,Severity,StartTime(UTC),EndTime(UTC),TimeZone,AirportCode,LocationLat,LocationLng,City,County,State,ZipCode
W-45,Snow,Light,2/1/2016 19:15,2/1/2016 19:35,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-46,Snow,Light,2/1/2016 19:55,2/1/2016 20:35,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-47,Snow,Light,2/2/2016 1:15,2/2/2016 1:55,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-48,Cold,Severe,2/4/2016 13:25,2/4/2016 14:35,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-49,Storm,Severe,2/14/2016 18:56,2/14/2016 20:16,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-50,Storm,Severe,2/14/2016 20:36,2/14/2016 21:56,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-51,Cold,Severe,2/16/2016 18:36,2/16/2016 19:54,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-52,Rain,Light,2/19/2016 4:34,2/19/2016 5:14,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-53,Snow,Light,2/23/2016 3:54,2/23/2016 5:34,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-54,Snow,Moderate,2/23/2016 5:34,2/23/2016 6:14,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-55,Snow,Light,2/23/2016 6:14,2/23/2016 7:14,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-56,Snow,Light,3/15/2016 6:14,3/15/2016 8:14,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-57,Snow,Light,3/15/2016 9:14,3/15/2016 9:33,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-58,Snow,Light,3/15/2016 12:34,3/15/2016 13:14,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-59,Snow,Light,3/15/2016 14:54,3/15/2016 15:14,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-60,Snow,Light,3/16/2016 7:54,3/16/2016 8:54,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
W-61,Snow,Light,3/16/2016 9:34,3/16/2016 11:14,US/Mountain,K04V,38.0972,-106.1689,Saguache,Saguache,CO,81149
